din_instante;id_subsistema_origem;nom_subsistema_origem;id_subsistema_destino;nom_subsistema_destino;val_intercambiomwmed
2023-01-01 00:00:00;N;NORTE;NE;NORDESTE;-3393.396
2023-01-01 00:00:00;N;NORTE;SE;SUDESTE;6351.214
2023-01-01 00:00:00;NE;NORDESTE;SE;SUDESTE;4009.116
2023-01-01 00:00:00;SE;SUDESTE;S;SUL;6933.356
2023-01-01 01:00:00;N;NORTE;NE;NORDESTE;-2956.452
2023-01-01 01:00:00;N;NORTE;SE;SUDESTE;6336.238
2023-01-01 01:00:00;NE;NORDESTE;SE;SUDESTE;3576.194
2023-01-01 01:00:00;SE;SUDESTE;S;SUL;6144.611
2023-01-01 02:00:00;N;NORTE;NE;NORDESTE;-2495.866
2023-01-01 02:00:00;N;NORTE;SE;SUDESTE;5635.956
2023-01-01 02:00:00;NE;NORDESTE;SE;SUDESTE;3094.396
2023-01-01 02:00:00;SE;SUDESTE;S;SUL;5164.638
2023-01-01 03:00:00;N;NORTE;NE;NORDESTE;-2350.304
2023-01-01 03:00:00;N;NORTE;SE;SUDESTE;5172.039
2023-01-01 03:00:00;NE;NORDESTE;SE;SUDESTE;2985.76899999
2023-01-01 03:00:00;SE;SUDESTE;S;SUL;5155.97999999
2023-01-01 04:00:00;N;NORTE;NE;NORDESTE;-2402.881
2023-01-01 04:00:00;N;NORTE;SE;SUDESTE;4671.92199999
2023-01-01 04:00:00;NE;NORDESTE;SE;SUDESTE;2956.25
2023-01-01 04:00:00;SE;SUDESTE;S;SUL;5247.484
2023-01-01 05:00:00;N;NORTE;NE;NORDESTE;-2689.379
2023-01-01 05:00:00;N;NORTE;SE;SUDESTE;3631.827
2023-01-01 05:00:00;NE;NORDESTE;SE;SUDESTE;2898.17
2023-01-01 05:00:00;SE;SUDESTE;S;SUL;5343.027
2023-01-01 06:00:00;N;NORTE;NE;NORDESTE;-2945.886
2023-01-01 06:00:00;N;NORTE;SE;SUDESTE;3761.804
2023-01-01 06:00:00;NE;NORDESTE;SE;SUDESTE;3279.217
2023-01-01 06:00:00;SE;SUDESTE;S;SUL;6283.987
2023-01-01 07:00:00;N;NORTE;NE;NORDESTE;-4375.352
2023-01-01 07:00:00;N;NORTE;SE;SUDESTE;3582.19
2023-01-01 07:00:00;NE;NORDESTE;SE;SUDESTE;4167.036
2023-01-01 07:00:00;SE;SUDESTE;S;SUL;6465.259
2023-01-01 08:00:00;N;NORTE;NE;NORDESTE;-4661.028
2023-01-01 08:00:00;N;NORTE;SE;SUDESTE;3370.523
2023-01-01 08:00:00;NE;NORDESTE;SE;SUDESTE;4165.219
2023-01-01 08:00:00;SE;SUDESTE;S;SUL;6040.272
2023-01-01 09:00:00;N;NORTE;NE;NORDESTE;-4372.059
2023-01-01 09:00:00;N;NORTE;SE;SUDESTE;3306.62399999
2023-01-01 09:00:00;NE;NORDESTE;SE;SUDESTE;3718.326
2023-01-01 09:00:00;SE;SUDESTE;S;SUL;5668.37
2023-01-01 10:00:00;N;NORTE;NE;NORDESTE;-3992.924
2023-01-01 10:00:00;N;NORTE;SE;SUDESTE;3161.574
2023-01-01 10:00:00;NE;NORDESTE;SE;SUDESTE;3107.475
2023-01-01 10:00:00;SE;SUDESTE;S;SUL;5479.98499999
2023-01-01 11:00:00;N;NORTE;NE;NORDESTE;-3924.747
2023-01-01 11:00:00;N;NORTE;SE;SUDESTE;3131.356
2023-01-01 11:00:00;NE;NORDESTE;SE;SUDESTE;2907.822
2023-01-01 11:00:00;SE;SUDESTE;S;SUL;5256.839
2023-01-01 12:00:00;N;NORTE;NE;NORDESTE;-3787.61
2023-01-01 12:00:00;N;NORTE;SE;SUDESTE;2988.199
2023-01-01 12:00:00;NE;NORDESTE;SE;SUDESTE;2617.058
2023-01-01 12:00:00;SE;SUDESTE;S;SUL;4890.926
2023-01-01 13:00:00;N;NORTE;NE;NORDESTE;-3821.018
2023-01-01 13:00:00;N;NORTE;SE;SUDESTE;2968.063
2023-01-01 13:00:00;NE;NORDESTE;SE;SUDESTE;2576.168
2023-01-01 13:00:00;SE;SUDESTE;S;SUL;4979.108
2023-01-01 14:00:00;N;NORTE;NE;NORDESTE;-3810.058
2023-01-01 14:00:00;N;NORTE;SE;SUDESTE;3144.58
2023-01-01 14:00:00;NE;NORDESTE;SE;SUDESTE;2844.353
2023-01-01 14:00:00;SE;SUDESTE;S;SUL;5156.143
2023-01-01 15:00:00;N;NORTE;NE;NORDESTE;-3382.605
2023-01-01 15:00:00;N;NORTE;SE;SUDESTE;3421.9
2023-01-01 15:00:00;NE;NORDESTE;SE;SUDESTE;2937.212
2023-01-01 15:00:00;SE;SUDESTE;S;SUL;5495.874
2023-01-01 16:00:00;N;NORTE;NE;NORDESTE;-2216.217
2023-01-01 16:00:00;N;NORTE;SE;SUDESTE;3897.005
2023-01-01 16:00:00;NE;NORDESTE;SE;SUDESTE;3083.759
2023-01-01 16:00:00;SE;SUDESTE;S;SUL;6023.375
2023-01-01 17:00:00;N;NORTE;NE;NORDESTE;-457.754
2023-01-01 17:00:00;N;NORTE;SE;SUDESTE;4180.261
2023-01-01 17:00:00;NE;NORDESTE;SE;SUDESTE;2862.552
2023-01-01 17:00:00;SE;SUDESTE;S;SUL;6230.754
2023-01-01 18:00:00;N;NORTE;NE;NORDESTE;700.253
2023-01-01 18:00:00;N;NORTE;SE;SUDESTE;5342.628
2023-01-01 18:00:00;NE;NORDESTE;SE;SUDESTE;3115.128
2023-01-01 18:00:00;SE;SUDESTE;S;SUL;6086.531
2023-01-01 19:00:00;N;NORTE;NE;NORDESTE;-46.034
2023-01-01 19:00:00;N;NORTE;SE;SUDESTE;6371.138
2023-01-01 19:00:00;NE;NORDESTE;SE;SUDESTE;3874.064
2023-01-01 19:00:00;SE;SUDESTE;S;SUL;4812.977
2023-01-01 20:00:00;N;NORTE;NE;NORDESTE;-342.644
2023-01-01 20:00:00;N;NORTE;SE;SUDESTE;6330.854
2023-01-01 20:00:00;NE;NORDESTE;SE;SUDESTE;4065.356
2023-01-01 20:00:00;SE;SUDESTE;S;SUL;4428.707
2023-01-01 21:00:00;N;NORTE;NE;NORDESTE;-469.645
2023-01-01 21:00:00;N;NORTE;SE;SUDESTE;6122.372
2023-01-01 21:00:00;NE;NORDESTE;SE;SUDESTE;4077.98
2023-01-01 21:00:00;SE;SUDESTE;S;SUL;4409.928
2023-01-01 22:00:00;N;NORTE;NE;NORDESTE;-1257.548
2023-01-01 22:00:00;N;NORTE;SE;SUDESTE;5495.039
2023-01-01 22:00:00;NE;NORDESTE;SE;SUDESTE;3977.546
2023-01-01 22:00:00;SE;SUDESTE;S;SUL;4289.381
2023-01-01 23:00:00;N;NORTE;NE;NORDESTE;-1862.648
2023-01-01 23:00:00;N;NORTE;SE;SUDESTE;4899.406
2023-01-01 23:00:00;NE;NORDESTE;SE;SUDESTE;3861.467
2023-01-01 23:00:00;SE;SUDESTE;S;SUL;4962.812
2023-01-02 00:00:00;N;NORTE;NE;NORDESTE;-1693.547
2023-01-02 00:00:00;N;NORTE;SE;SUDESTE;4848.282
2023-01-02 00:00:00;NE;NORDESTE;SE;SUDESTE;3548.436
